;;;Time
Key Size;Method;Data Size;Value
128;Encrypt;256;3.057285546E9
128;Decrypt;256;3.062918331E9
128;Encrypt;512;5.828765253E9
128;Decrypt;512;6.249202954E9
128;Encrypt;1024;1.4421532612E10
128;Decrypt;1024;1.3937888472E10
256;Encrypt;256;3.899028951E9
256;Decrypt;256;3.499127733E9
256;Encrypt;512;7.329368696E9
256;Decrypt;512;7.129825226E9
256;Encrypt;1024;1.4799470364E10
256;Decrypt;1024;1.8633942697E10
