;;;Time
Key Size;Method;Data Size;Value
128;Encrypt;256;3.17991091E9
128;Decrypt;256;3.05811129E9
128;Encrypt;512;5.838650288E9
128;Decrypt;512;6.255671509E9
128;Encrypt;1024;1.4461002098E10
128;Decrypt;1024;1.1841951714E10
256;Encrypt;256;3.852750197E9
256;Decrypt;256;3.686074701E9
256;Encrypt;512;7.196925991E9
256;Decrypt;512;9.2441005E9
256;Encrypt;1024;1.4881997343E10
256;Decrypt;1024;1.4173025107E10
