;;;Time
Key Size;Method;Data Size;Value
128;Encrypt;256;3.228837278E9
128;Decrypt;256;3.613739328E9
128;Encrypt;512;6.451876327E9
128;Decrypt;512;7.246498735E9
128;Encrypt;1024;1.3086068686E10
128;Decrypt;1024;1.6568411266E10
256;Encrypt;256;3.822977936E9
256;Decrypt;256;4.231612451E9
256;Encrypt;512;7.714590431E9
256;Decrypt;512;8.509302223E9
256;Encrypt;1024;1.8110233935E10
256;Decrypt;1024;1.9743573512E10
