;;;Time
Key Size;Method;Data Size;Value
128;Encrypt;256;3.157318753E9
128;Decrypt;256;3.570064572E9
128;Encrypt;512;6.192004233E9
128;Decrypt;512;6.897872237E9
128;Encrypt;1024;1.2490351782E10
128;Decrypt;1024;1.3922248277E10
256;Encrypt;256;3.764282484E9
256;Decrypt;256;4.060699474E9
256;Encrypt;512;7.50933622E9
256;Decrypt;512;1.0389023376E10
256;Encrypt;1024;1.7327569492E10
256;Decrypt;1024;1.6163812362E10
