;;;Time
Key Size;Method;Data Size;Value
128;Encrypt;256;3.131886765E9
128;Decrypt;256;3.39148721E9
128;Encrypt;512;6.180601929E9
128;Decrypt;512;8.90541495E9
128;Encrypt;1024;1.235923457E10
128;Decrypt;1024;1.5942489789E10
256;Encrypt;256;3.783613981E9
256;Decrypt;256;3.960741667E9
256;Encrypt;512;7.496018964E9
256;Decrypt;512;8.016813071E9
256;Encrypt;1024;1.5136740587E10
256;Decrypt;1024;2.0558549196E10
