;;;Time
Key Size;Method;Data Size;Value
128;Encrypt;256;3.032045622E9
128;Decrypt;256;2.985194096E9
128;Encrypt;512;5.736544319E9
128;Decrypt;512;5.862706244E9
128;Encrypt;1024;3.3743657355E10
128;Decrypt;1024;2.8490238725E10
256;Encrypt;256;3.708942598E9
256;Decrypt;256;3.497822916E9
256;Encrypt;512;7.448374343E9
256;Decrypt;512;7.116246122E9
256;Encrypt;1024;1.6141939681E10
256;Decrypt;1024;4.7996240387E10
