;;;Time
Key Size;Method;Data Size;Value
128;Encrypt;256;3.199417343E9
128;Decrypt;256;3.013801012E9
128;Encrypt;512;5.795821452E9
128;Decrypt;512;6.072668356E9
128;Encrypt;1024;1.1667790332E10
128;Decrypt;1024;5.2434896074E10
256;Encrypt;256;3.511889025E9
256;Decrypt;256;3.612200214E9
256;Encrypt;512;7.157213411E9
256;Decrypt;512;7.311231555E9
256;Encrypt;1024;1.4230020685E10
256;Decrypt;1024;8.0672098097E10
