;;;Time
Key Size;Method;Data Size;Value
128;Encrypt;256;3.206025412E9
128;Decrypt;256;3.519247339E9
128;Encrypt;512;6.23772852E9
128;Decrypt;512;6.708655074E9
128;Encrypt;1024;1.2706794032E10
128;Decrypt;1024;1.8160850041E10
256;Encrypt;256;3.836193011E9
256;Decrypt;256;4.041536794E9
256;Encrypt;512;7.650170339E9
256;Decrypt;512;8.145319921E9
256;Encrypt;1024;1.5810806338E10
256;Decrypt;1024;3.7821297125E10
