;;;Time
Key Size;Method;Data Size;Value
128;Encrypt;256;3.166367592E9
128;Decrypt;256;3.520187224E9
128;Encrypt;512;6.318712285E9
128;Decrypt;512;6.829549495E9
128;Encrypt;1024;1.2660904012E10
128;Decrypt;1024;1.6220332888E10
256;Encrypt;256;3.813096147E9
256;Decrypt;256;4.034643181E9
256;Encrypt;512;7.633861812E9
256;Decrypt;512;8.280795518E9
256;Encrypt;1024;1.5432110759E10
256;Decrypt;1024;2.0892104655E10
