;;;Time
Key Size;Method;Data Size;Value
128;Encrypt;256;3.054393507E9
128;Decrypt;256;3.032196507E9
128;Encrypt;512;5.810557681E9
128;Decrypt;512;7.204110616E9
128;Encrypt;1024;1.2207849345E10
128;Decrypt;1024;1.444107876E10
256;Encrypt;256;3.723487514E9
256;Decrypt;256;3.410985495E9
256;Encrypt;512;7.445536806E9
256;Decrypt;512;9.248560512E9
256;Encrypt;1024;1.7131723567E10
256;Decrypt;1024;1.6526048085E10
