;;;Time
Key Size;Method;Data Size;Value
128;Encrypt;256;3.172335752E9
128;Decrypt;256;3.500489456E9
128;Encrypt;512;6.136608698E9
128;Decrypt;512;7.467462326E9
128;Encrypt;1024;1.2297608495E10
128;Decrypt;1024;1.8219150804E10
256;Encrypt;256;3.704393021E9
256;Decrypt;256;4.087039056E9
256;Encrypt;512;7.44412426E9
256;Decrypt;512;8.25400045E9
256;Encrypt;1024;1.4850253299E10
256;Decrypt;1024;1.8662943749E10
